#:Data_list: 20190708_Gp_pchan_5m.txt
#:Created: 2019 Jul 09 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-14
# Location: W105
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-14 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2019 07 08  0600   58672  21600  5.30e-02  2.75e-02  7.27e-03  3.61e-03  2.15e-03  2.65e-04  1.41e-03  3.07e-03  1.63e-03  7.53e-04  1.75e-04
2019 07 08  0605   58672  21900  5.55e-02  1.05e-02  7.27e-03  4.15e-03  1.20e-03  1.20e-03  1.20e-03  3.93e-03  1.54e-03  8.09e-04  1.97e-04
2019 07 08  0610   58672  22200  2.13e-01  4.50e-02  7.27e-03  4.14e-03  1.20e-03  6.03e-04  1.13e-03  3.70e-03  1.49e-03  1.02e-03  1.75e-04
2019 07 08  0615   58672  22500  1.16e-01  1.05e-02  7.27e-03  1.25e-02  1.20e-03  3.83e-04  1.38e-03  3.25e-03  2.21e-03  9.60e-04  1.93e-04
2019 07 08  0620   58672  22800  9.65e-02  3.34e-02  7.27e-03  1.08e-02  1.20e-03  2.65e-04  6.88e-04  3.21e-03  1.90e-03  6.02e-04  2.05e-04
2019 07 08  0625   58672  23100  1.44e-01  1.05e-02  7.27e-03  1.30e-03  1.20e-03  4.14e-04  1.09e-03  4.02e-03  1.99e-03  1.13e-03  1.66e-04
2019 07 08  0630   58672  23400  2.54e-01  1.05e-02  7.27e-03  7.55e-03  1.20e-03  2.65e-04  1.00e-03  3.57e-03  1.90e-03  6.78e-04  1.79e-04
2019 07 08  0635   58672  23700  1.13e-01  1.05e-02  7.27e-03  1.11e-02  2.14e-03  4.46e-04  1.23e-03  3.16e-03  1.58e-03  8.47e-04  1.99e-04
2019 07 08  0640   58672  24000  1.89e-01  4.55e-02  7.27e-03  8.21e-03  1.20e-03  2.65e-04  1.09e-03  3.48e-03  1.99e-03  9.97e-04  1.46e-04
2019 07 08  0645   58672  24300  2.30e-01  2.13e-02  7.27e-03  1.07e-02  1.20e-03  2.88e-04  1.07e-03  2.94e-03  1.36e-03  8.28e-04  1.68e-04
2019 07 08  0650   58672  24600  1.40e-01  1.05e-02  1.83e-02  3.61e-03  1.20e-03  2.65e-04  1.42e-03  2.76e-03  2.08e-03  7.53e-04  1.42e-04
2019 07 08  0655   58672  24900  1.81e-01  1.05e-02  7.27e-03  6.90e-03  1.20e-03  2.65e-04  8.86e-04  2.80e-03  1.22e-03  1.05e-03  1.93e-04
2019 07 08  0700   58672  25200  1.78e-01  1.18e-01  3.70e-02  2.30e-03  1.20e-03  2.65e-04  9.78e-04  3.21e-03  2.03e-03  9.03e-04  1.62e-04
2019 07 08  0705   58672  25500  1.19e-01  1.16e-02  7.27e-03  8.87e-03  2.74e-03  2.65e-04  1.06e-03  3.03e-03  1.94e-03  1.02e-03  1.40e-04
2019 07 08  0710   58672  25800  5.34e-02  1.05e-02  7.27e-03  3.61e-03  1.20e-03  2.65e-04  8.10e-04  2.62e-03  1.85e-03  9.79e-04  1.54e-04
2019 07 08  0715   58672  26100  2.95e-01  3.45e-02  7.27e-03  2.07e-03  2.92e-03  3.51e-04  7.90e-04  3.03e-03  2.48e-03  1.04e-03  1.54e-04
2019 07 08  0720   58672  26400  1.27e-01  1.05e-02  7.27e-03  1.14e-02  1.20e-03  1.20e-03  1.12e-03  3.25e-03  1.94e-03  1.19e-03  1.56e-04
2019 07 08  0725   58672  26700  1.16e-01  1.05e-02  7.27e-03  1.30e-03  1.20e-03  2.65e-04  1.18e-03  3.70e-03  1.31e-03  1.02e-03  1.36e-04
2019 07 08  0730   58672  27000  1.31e-01  1.05e-02  3.08e-02  1.01e-02  2.08e-03  5.72e-04  1.23e-03  3.57e-03  1.67e-03  9.41e-04  1.48e-04
2019 07 08  0735   58672  27300  1.03e-01  2.13e-02  7.27e-03  5.58e-03  1.20e-03  2.65e-04  1.47e-03  3.66e-03  1.63e-03  1.05e-03  1.69e-04
2019 07 08  0740   58672  27600  1.85e-01  1.05e-02  8.09e-03  1.20e-02  1.20e-03  6.35e-04  1.30e-03  3.75e-03  2.71e-03  9.97e-04  1.52e-04
2019 07 08  0745   58672  27900  1.12e-01  1.05e-02  7.27e-03  1.41e-02  3.33e-03  2.65e-04  9.52e-04  3.30e-03  1.13e-03  1.02e-03  1.32e-04
2019 07 08  0750   58672  28200  1.29e-01  1.05e-02  7.27e-03  1.86e-03  1.20e-03  4.46e-04  1.38e-03  3.75e-03  1.45e-03  9.79e-04  1.36e-04
2019 07 08  0755   58672  28500  1.37e-01  3.27e-02  7.27e-03  2.35e-03  1.20e-03  8.24e-04  1.47e-03  3.30e-03  1.36e-03  8.28e-04  1.46e-04
2019 07 08  0800   58672  28800  1.24e-01  1.05e-02  7.27e-03  5.56e-03  1.73e-03  2.65e-04  1.17e-03  3.70e-03  1.76e-03  9.22e-04  1.38e-04
2019 07 08  0805   58672  29100  7.06e-02  1.05e-02  7.27e-03  3.61e-03  1.20e-03  2.65e-04  1.19e-03  2.85e-03  1.72e-03  1.07e-03  1.46e-04
2019 07 08  0810   58672  29400  1.23e-01  1.05e-02  7.27e-03  2.30e-03  1.55e-03  2.65e-04  9.22e-04  3.84e-03  1.81e-03  7.53e-04  1.69e-04
2019 07 08  0815   58672  29700  1.70e-01  3.30e-02  7.27e-03  4.21e-03  1.20e-03  5.72e-04  1.20e-03  3.07e-03  1.63e-03  1.13e-03  1.69e-04
2019 07 08  0820   58672  30000  7.06e-02  1.05e-02  4.64e-02  8.21e-03  1.20e-03  2.65e-04  9.01e-04  2.98e-03  1.63e-03  9.97e-04  1.91e-04
2019 07 08  0825   58672  30300  1.91e-01  1.05e-02  7.27e-03  6.24e-03  4.31e-03  2.65e-04  1.27e-03  3.43e-03  2.48e-03  7.53e-04  1.73e-04
2019 07 08  0830   58672  30600  1.12e-01  1.05e-02  7.27e-03  1.30e-03  3.72e-03  2.65e-04  1.09e-03  3.75e-03  1.45e-03  7.90e-04  1.71e-04
2019 07 08  0835   58672  30900  1.42e-01  1.05e-02  7.27e-03  1.15e-02  1.20e-03  2.65e-04  8.66e-04  3.61e-03  1.54e-03  8.66e-04  1.25e-04
2019 07 08  0840   58672  31200  1.70e-01  1.05e-02  2.65e-02  8.26e-03  1.20e-03  8.24e-04  9.22e-04  3.75e-03  1.94e-03  1.04e-03  1.32e-04
2019 07 08  0845   58672  31500  1.76e-01  3.34e-02  7.27e-03  1.28e-02  1.20e-03  2.65e-04  1.32e-03  2.48e-03  1.36e-03  8.09e-04  1.68e-04
2019 07 08  0850   58672  31800  2.53e-02  1.05e-02  7.27e-03  9.53e-03  1.20e-03  2.65e-04  9.83e-04  3.39e-03  1.58e-03  9.97e-04  1.36e-04
2019 07 08  0855   58672  32100  4.04e-02  3.34e-02  7.27e-03  5.58e-03  1.20e-03  2.65e-04  1.00e-03  3.25e-03  1.90e-03  9.79e-04  1.79e-04
2019 07 08  0900   58672  32400  7.28e-02  1.05e-02  7.27e-03  6.15e-03  1.20e-03  8.87e-04  1.21e-03  3.03e-03  1.54e-03  7.15e-04  1.42e-04
2019 07 08  0905   58672  32700  1.89e-01  3.28e-02  7.27e-03  3.28e-03  1.20e-03  6.98e-04  1.23e-03  3.66e-03  2.35e-03  9.22e-04  1.56e-04
2019 07 08  0910   58672  33000  1.70e-01  1.05e-02  7.27e-03  5.28e-03  1.20e-03  3.83e-04  9.93e-04  3.52e-03  1.67e-03  8.47e-04  1.77e-04
2019 07 08  0915   58672  33300  8.79e-02  1.05e-02  7.27e-03  5.18e-03  1.20e-03  7.29e-04  1.30e-03  3.52e-03  1.22e-03  1.09e-03  1.58e-04
2019 07 08  0920   58672  33600  1.03e-01  1.05e-02  7.27e-03  3.61e-03  1.55e-03  2.65e-04  9.47e-04  3.34e-03  1.90e-03  1.13e-03  1.62e-04
2019 07 08  0925   58672  33900  1.45e-01  1.05e-02  7.27e-03  1.30e-03  5.69e-03  2.65e-04  1.38e-03  3.34e-03  1.72e-03  8.66e-04  1.46e-04
2019 07 08  0930   58672  34200  8.12e-03  2.13e-02  7.27e-03  8.21e-03  1.20e-03  2.65e-04  1.08e-03  3.61e-03  2.03e-03  8.09e-04  1.42e-04
2019 07 08  0935   58672  34500  5.55e-02  1.05e-02  7.27e-03  4.18e-03  1.20e-03  2.88e-04  1.24e-03  3.79e-03  1.54e-03  9.60e-04  1.42e-04
2019 07 08  0940   58672  34800  2.13e-01  1.05e-02  7.27e-03  4.08e-03  1.20e-03  6.35e-04  1.33e-03  3.16e-03  1.90e-03  8.28e-04  1.71e-04
2019 07 08  0945   58672  35100  1.71e-01  1.05e-02  7.27e-03  1.30e-03  1.75e-03  2.65e-04  9.78e-04  3.66e-03  1.90e-03  1.02e-03  1.73e-04
2019 07 08  0950   58672  35400  1.46e-01  1.05e-02  7.27e-03  5.58e-03  2.15e-03  2.65e-04  1.13e-03  4.52e-03  1.85e-03  1.07e-03  1.54e-04
2019 07 08  0955   58672  35700  1.22e-01  2.13e-02  7.27e-03  8.21e-03  1.20e-03  2.65e-04  9.01e-04  3.39e-03  2.17e-03  8.47e-04  1.50e-04
2019 07 08  1000   58672  36000  5.12e-02  1.05e-02  7.27e-03  1.31e-03  1.20e-03  6.98e-04  1.13e-03  3.25e-03  1.85e-03  8.85e-04  1.60e-04
2019 07 08  1005   58672  36300  2.88e-01  1.05e-02  8.88e-03  3.61e-03  1.20e-03  2.65e-04  7.74e-04  3.66e-03  1.58e-03  1.04e-03  1.62e-04
2019 07 08  1010   58672  36600  9.22e-02  1.05e-02  1.79e-02  6.46e-03  1.20e-03  4.46e-04  9.73e-04  3.48e-03  1.90e-03  5.27e-04  1.71e-04
2019 07 08  1015   58672  36900  7.06e-02  1.05e-02  7.27e-03  1.48e-02  1.20e-03  2.65e-04  1.57e-03  3.97e-03  2.53e-03  9.79e-04  1.46e-04
2019 07 08  1020   58672  37200  1.03e-01  6.97e-02  1.83e-02  4.27e-03  1.20e-03  2.65e-04  1.01e-03  3.88e-03  1.99e-03  6.78e-04  1.87e-04
2019 07 08  1025   58672  37500  7.49e-02  2.13e-02  7.27e-03  7.55e-03  1.20e-03  2.65e-04  8.71e-04  3.03e-03  1.67e-03  8.47e-04  1.77e-04
2019 07 08  1030   58672  37800  2.24e-01  2.62e-02  2.05e-02  4.27e-03  2.34e-03  2.65e-04  1.33e-03  4.02e-03  1.49e-03  9.41e-04  1.73e-04
2019 07 08  1035   58672  38100  1.53e-01  6.97e-02  7.27e-03  8.87e-03  1.20e-03  2.65e-04  1.28e-03  3.79e-03  1.36e-03  1.28e-03  1.54e-04
2019 07 08  1040   58672  38400  1.12e-01  5.76e-02  7.27e-03  2.95e-03  1.20e-03  2.65e-04  9.37e-04  3.75e-03  1.67e-03  9.60e-04  1.46e-04
2019 07 08  1045   58672  38700  1.83e-01  6.97e-02  7.27e-03  6.90e-03  1.20e-03  2.65e-04  9.42e-04  3.12e-03  2.03e-03  1.04e-03  1.23e-04
2019 07 08  1050   58672  39000  1.27e-01  1.05e-02  7.27e-03  1.15e-02  1.20e-03  2.65e-04  1.11e-03  3.12e-03  1.90e-03  7.90e-04  1.85e-04
2019 07 08  1055   58672  39300  9.22e-02  2.13e-02  7.27e-03  8.21e-03  1.20e-03  2.65e-04  8.86e-04  2.85e-03  1.85e-03  8.47e-04  1.50e-04
2019 07 08  1100   58672  39600  9.86e-02  5.76e-02  7.27e-03  5.58e-03  1.20e-03  2.65e-04  1.22e-03  3.93e-03  1.63e-03  1.02e-03  1.50e-04
2019 07 08  1105   58672  39900  1.63e-01  1.05e-02  1.75e-02  7.36e-03  1.20e-03  6.35e-04  1.04e-03  2.26e-03  1.45e-03  8.28e-04  1.46e-04
2019 07 08  1110   58672  40200  8.35e-02  1.05e-02  8.88e-03  7.55e-03  1.20e-03  2.65e-04  1.40e-03  3.97e-03  1.26e-03  9.03e-04  1.27e-04
