#:Data_list: 20150530_Gp_pchan_5m.txt
#:Created: 2015 May 31 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-13
# Location: W075
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-13 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2015 05 30  0150   57172   6600  2.48e-01  8.47e-02  2.81e-02  1.18e-02  8.06e-03  3.93e-03  1.86e-03  1.90e-03  8.58e-04  3.20e-04  1.13e-04
2015 05 30  0155   57172   6900  3.95e-01  8.47e-02  3.75e-02  1.51e-02  1.16e-02  3.56e-03  1.99e-03  1.67e-03  8.13e-04  3.95e-04  1.11e-04
2015 05 30  0200   57172   7200  4.44e-01  2.42e-02  9.38e-03  1.64e-02  1.44e-02  3.96e-03  1.68e-03  1.45e-03  9.94e-04  2.63e-04  1.48e-04
2015 05 30  0205   57172   7500  2.76e-01  4.84e-02  2.81e-02  1.38e-02  1.34e-02  4.47e-03  1.90e-03  1.85e-03  7.23e-04  3.95e-04  1.15e-04
2015 05 30  0210   57172   7800  3.00e-01  1.09e-01  4.69e-02  1.97e-02  1.18e-02  3.86e-03  2.01e-03  1.13e-03  7.68e-04  3.58e-04  1.23e-04
2015 05 30  0215   57172   8100  2.23e-01  8.47e-02  1.88e-02  1.51e-02  1.16e-02  4.23e-03  1.98e-03  1.76e-03  6.78e-04  3.58e-04  1.29e-04
2015 05 30  0220   57172   8400  3.54e-01  1.09e-01  6.57e-02  1.45e-02  1.57e-02  4.40e-03  1.81e-03  1.45e-03  7.23e-04  3.58e-04  1.19e-04
2015 05 30  0225   57172   8700  1.81e-01  8.47e-02  9.38e-03  1.91e-02  9.64e-03  3.42e-03  1.89e-03  1.63e-03  9.49e-04  3.58e-04  1.46e-04
2015 05 30  0230   57172   9000  2.91e-01  7.26e-02  2.81e-02  1.38e-02  1.00e-02  3.90e-03  1.88e-03  1.54e-03  1.22e-03  5.08e-04  1.19e-04
2015 05 30  0235   57172   9300  1.70e-01  7.26e-02  1.88e-02  1.84e-02  1.40e-02  4.57e-03  2.31e-03  1.31e-03  9.03e-04  4.14e-04  1.34e-04
2015 05 30  0240   57172   9600  2.22e-01  9.68e-02  9.38e-03  2.50e-02  8.06e-03  3.90e-03  1.82e-03  1.40e-03  6.78e-04  4.33e-04  1.09e-04
2015 05 30  0245   57172   9900  1.81e-01  8.47e-02  1.88e-02  1.51e-02  9.64e-03  4.17e-03  2.02e-03  1.26e-03  9.03e-04  3.01e-04  1.25e-04
2015 05 30  0250   57172  10200  1.51e-01  7.26e-02  8.44e-02  2.04e-02  1.44e-02  3.49e-03  1.81e-03  1.58e-03  4.97e-04  4.33e-04  1.23e-04
2015 05 30  0255   57172  10500  1.79e-01  3.63e-02  6.57e-02  1.91e-02  1.32e-02  3.86e-03  1.87e-03  2.17e-03  8.13e-04  4.52e-04  1.34e-04
2015 05 30  0300   57172  10800  3.34e-01  6.05e-02  3.75e-02  1.45e-02  1.10e-02  3.90e-03  1.69e-03  1.13e-03  5.87e-04  3.39e-04  1.03e-04
2015 05 30  0305   57172  11100  2.29e-01  4.84e-02  2.81e-02  1.58e-02  1.34e-02  4.27e-03  1.72e-03  1.13e-03  1.04e-03  3.95e-04  1.31e-04
2015 05 30  0310   57172  11400  1.94e-01  4.84e-02  1.88e-02  1.64e-02  1.30e-02  3.76e-03  1.66e-03  1.72e-03  1.22e-03  3.58e-04  8.96e-05
2015 05 30  0315   57172  11700  2.57e-01  9.68e-02  4.69e-02  1.25e-02  9.83e-03  3.83e-03  2.11e-03  1.90e-03  7.68e-04  2.82e-04  1.23e-04
2015 05 30  0320   57172  12000  2.03e-01  4.84e-02  4.69e-02  1.58e-02  1.04e-02  4.88e-03  1.78e-03  1.99e-03  6.32e-04  3.01e-04  1.25e-04
2015 05 30  0325   57172  12300  2.05e-01  7.26e-02  2.81e-02  2.10e-02  1.28e-02  4.27e-03  1.87e-03  1.85e-03  4.97e-04  4.14e-04  1.29e-04
2015 05 30  0330   57172  12600  1.36e-01  4.84e-02  2.81e-02  9.86e-03  9.64e-03  4.54e-03  2.10e-03  1.40e-03  1.22e-03  2.82e-04  1.36e-04
2015 05 30  0335   57172  12900  2.01e-01  1.33e-01  1.88e-02  1.91e-02  1.28e-02  3.83e-03  1.88e-03  1.63e-03  8.13e-04  3.39e-04  1.21e-04
2015 05 30  0340   57172  13200  1.68e-01  3.63e-02  4.69e-02  1.45e-02  9.44e-03  4.10e-03  1.99e-03  2.08e-03  7.23e-04  3.01e-04  8.96e-05
2015 05 30  0345   57172  13500  2.09e-01  1.09e-01  2.81e-02  1.58e-02  8.06e-03  3.29e-03  1.72e-03  1.54e-03  6.32e-04  2.45e-04  1.17e-04
2015 05 30  0350   57172  13800  1.40e-01  4.84e-02  6.57e-02  1.51e-02  1.04e-02  3.93e-03  1.95e-03  2.08e-03  9.03e-04  2.63e-04  1.19e-04
2015 05 30  0355   57172  14100  2.35e-01  0.00e+00  9.38e-03  1.97e-02  9.64e-03  4.27e-03  2.03e-03  1.85e-03  8.58e-04  2.82e-04  1.44e-04
2015 05 30  0400   57172  14400  1.62e-01  6.05e-02  2.81e-02  2.10e-02  9.05e-03  3.73e-03  2.01e-03  1.26e-03  8.58e-04  3.01e-04  1.01e-04
2015 05 30  0405   57172  14700  1.81e-01  2.42e-02  2.81e-02  1.51e-02  1.38e-02  4.20e-03  1.94e-03  1.99e-03  9.49e-04  3.39e-04  1.36e-04
2015 05 30  0410   57172  15000  3.08e-01  3.63e-02  2.81e-02  1.18e-02  1.24e-02  3.66e-03  1.95e-03  1.67e-03  8.13e-04  1.88e-04  1.36e-04
2015 05 30  0415   57172  15300  1.85e-01  3.63e-02  7.50e-02  1.51e-02  1.22e-02  4.23e-03  1.92e-03  1.58e-03  9.03e-04  3.95e-04  1.19e-04
2015 05 30  0420   57172  15600  1.79e-01  4.84e-02  1.88e-02  1.58e-02  1.08e-02  3.73e-03  1.90e-03  1.40e-03  8.13e-04  3.39e-04  1.15e-04
2015 05 30  0425   57172  15900  2.82e-01  4.84e-02  6.57e-02  1.77e-02  1.06e-02  4.64e-03  2.09e-03  1.40e-03  9.49e-04  2.63e-04  1.21e-04
2015 05 30  0430   57172  16200  2.80e-01  6.05e-02  5.63e-02  1.25e-02  9.83e-03  3.49e-03  1.62e-03  1.58e-03  6.32e-04  3.58e-04  1.38e-04
2015 05 30  0435   57172  16500  1.51e-01  7.26e-02  0.00e+00  1.77e-02  1.36e-02  4.44e-03  1.87e-03  1.40e-03  5.87e-04  2.63e-04  1.38e-04
2015 05 30  0440   57172  16800  1.92e-01  6.05e-02  7.50e-02  1.58e-02  1.28e-02  3.49e-03  2.14e-03  1.63e-03  7.68e-04  1.88e-04  1.01e-04
2015 05 30  0445   57172  17100  2.35e-01  8.47e-02  1.88e-02  1.38e-02  1.22e-02  4.27e-03  2.06e-03  1.54e-03  8.13e-04  2.45e-04  1.21e-04
2015 05 30  0450   57172  17400  2.98e-01  1.09e-01  3.75e-02  1.84e-02  1.10e-02  4.71e-03  1.86e-03  1.26e-03  7.23e-04  3.01e-04  1.05e-04
2015 05 30  0455   57172  17700  2.31e-01  1.09e-01  1.88e-02  2.17e-02  1.53e-02  4.34e-03  1.85e-03  1.45e-03  8.58e-04  1.88e-04  1.11e-04
2015 05 30  0500   57172  18000  2.18e-01  1.09e-01  4.69e-02  1.84e-02  1.44e-02  4.27e-03  2.07e-03  1.67e-03  1.13e-03  4.52e-04  1.03e-04
2015 05 30  0505   57172  18300  2.46e-01  3.63e-02  3.75e-02  1.77e-02  1.22e-02  3.69e-03  2.00e-03  1.13e-03  8.58e-04  4.14e-04  1.19e-04
2015 05 30  0510   57172  18600  1.96e-01  1.21e-02  3.75e-02  1.51e-02  1.36e-02  4.13e-03  1.76e-03  1.85e-03  4.97e-04  3.58e-04  1.15e-04
2015 05 30  0515   57172  18900  2.01e-01  7.26e-02  1.88e-02  1.38e-02  1.87e-02  4.71e-03  2.07e-03  1.90e-03  7.23e-04  3.58e-04  1.13e-04
2015 05 30  0520   57172  19200  2.57e-01  1.09e-01  3.75e-02  1.25e-02  1.06e-02  3.49e-03  2.06e-03  1.31e-03  1.13e-03  3.76e-04  1.50e-04
2015 05 30  0525   57172  19500  2.01e-01  6.05e-02  9.38e-03  1.31e-02  1.42e-02  3.59e-03  1.64e-03  1.63e-03  1.08e-03  4.52e-04  1.17e-04
2015 05 30  0530   57172  19800  2.80e-01  7.26e-02  0.00e+00  8.54e-03  1.51e-02  3.90e-03  1.65e-03  1.58e-03  4.97e-04  2.45e-04  1.19e-04
2015 05 30  0535   57172  20100  2.16e-01  9.68e-02  1.88e-02  1.51e-02  1.40e-02  4.51e-03  1.98e-03  1.31e-03  7.23e-04  2.63e-04  1.19e-04
2015 05 30  0540   57172  20400  2.22e-01  6.05e-02  9.38e-03  1.12e-02  1.53e-02  4.57e-03  1.92e-03  1.45e-03  6.78e-04  4.14e-04  1.05e-04
2015 05 30  0545   57172  20700  2.11e-01  1.09e-01  3.75e-02  1.77e-02  1.18e-02  4.10e-03  1.55e-03  1.45e-03  1.04e-03  3.20e-04  1.09e-04
2015 05 30  0550   57172  21000  2.48e-01  8.47e-02  6.57e-02  1.77e-02  1.02e-02  3.86e-03  2.14e-03  1.90e-03  1.22e-03  2.45e-04  1.05e-04
2015 05 30  0555   57172  21300  1.70e-01  3.63e-02  4.69e-02  1.31e-02  8.65e-03  4.51e-03  1.71e-03  1.17e-03  7.23e-04  3.95e-04  1.13e-04
2015 05 30  0600   57172  21600  1.32e-01  1.33e-01  4.69e-02  1.64e-02  1.59e-02  4.13e-03  1.80e-03  1.31e-03  1.22e-03  2.82e-04  1.25e-04
2015 05 30  0605   57172  21900  3.06e-01  2.42e-02  3.75e-02  1.31e-02  1.40e-02  3.69e-03  1.83e-03  1.81e-03  9.03e-04  3.95e-04  1.29e-04
2015 05 30  0610   57172  22200  2.18e-01  3.63e-02  9.38e-03  1.51e-02  1.16e-02  4.44e-03  2.07e-03  1.49e-03  8.58e-04  5.46e-04  1.46e-04
2015 05 30  0615   57172  22500  2.11e-01  7.26e-02  2.81e-02  9.20e-03  1.16e-02  3.83e-03  2.09e-03  1.67e-03  1.13e-03  2.82e-04  1.25e-04
2015 05 30  0620   57172  22800  1.83e-01  4.84e-02  1.88e-02  1.71e-02  9.83e-03  4.40e-03  1.91e-03  1.26e-03  9.94e-04  2.45e-04  1.13e-04
2015 05 30  0625   57172  23100  2.13e-01  8.47e-02  3.75e-02  1.12e-02  1.42e-02  4.23e-03  1.96e-03  1.36e-03  1.13e-03  2.07e-04  1.09e-04
2015 05 30  0630   57172  23400  1.96e-01  8.47e-02  2.81e-02  1.77e-02  1.32e-02  4.00e-03  1.94e-03  1.45e-03  1.04e-03  2.45e-04  1.05e-04
2015 05 30  0635   57172  23700  2.01e-01  8.47e-02  2.81e-02  1.91e-02  1.30e-02  4.71e-03  1.78e-03  1.76e-03  8.58e-04  2.63e-04  1.34e-04
2015 05 30  0640   57172  24000  2.89e-01  4.84e-02  1.88e-02  9.86e-03  1.08e-02  4.30e-03  1.98e-03  1.54e-03  1.22e-03  3.58e-04  1.32e-04
2015 05 30  0645   57172  24300  2.11e-01  7.26e-02  4.69e-02  1.91e-02  1.32e-02  4.17e-03  1.84e-03  1.76e-03  8.58e-04  3.01e-04  1.36e-04
2015 05 30  0650   57172  24600  1.83e-01  6.05e-02  3.75e-02  1.77e-02  1.02e-02  4.61e-03  2.02e-03  1.63e-03  1.13e-03  4.70e-04  1.17e-04
2015 05 30  0655   57172  24900  2.76e-01  1.09e-01  2.81e-02  1.12e-02  1.57e-02  3.73e-03  1.97e-03  1.22e-03  7.23e-04  2.82e-04  1.19e-04
2015 05 30  0700   57172  25200  2.33e-01  8.47e-02  9.38e-03  1.64e-02  1.20e-02  4.57e-03  1.65e-03  1.45e-03  7.68e-04  2.45e-04  1.05e-04
2015 05 30  0705   57172  25500  2.98e-01  3.63e-02  3.75e-02  1.84e-02  1.20e-02  3.69e-03  1.70e-03  1.31e-03  9.03e-04  3.01e-04  1.23e-04
2015 05 30  0710   57172  25800  2.67e-01  4.84e-02  6.57e-02  1.64e-02  1.12e-02  4.00e-03  1.80e-03  1.04e-03  8.13e-04  2.26e-04  1.09e-04
2015 05 30  0715   57172  26100  1.12e-01  6.05e-02  2.81e-02  1.77e-02  1.30e-02  4.17e-03  1.90e-03  1.40e-03  7.23e-04  4.14e-04  1.17e-04
2015 05 30  0720   57172  26400  2.65e-01  4.84e-02  3.75e-02  1.58e-02  1.14e-02  4.47e-03  1.83e-03  1.45e-03  1.17e-03  2.45e-04  1.32e-04
2015 05 30  0725   57172  26700  2.37e-01  7.26e-02  2.81e-02  1.12e-02  1.06e-02  4.03e-03  1.97e-03  1.40e-03  9.03e-04  3.01e-04  1.15e-04
2015 05 30  0730   57172  27000  1.79e-01  8.47e-02  1.88e-02  1.64e-02  1.16e-02  4.17e-03  2.14e-03  1.58e-03  5.87e-04  1.69e-04  1.40e-04
2015 05 30  0735   57172  27300  1.29e-01  7.26e-02  1.88e-02  1.38e-02  1.12e-02  4.51e-03  1.90e-03  1.63e-03  1.17e-03  3.95e-04  1.25e-04
2015 05 30  0740   57172  27600  1.83e-01  4.84e-02  1.88e-02  1.51e-02  1.22e-02  4.30e-03  1.95e-03  1.26e-03  1.08e-03  3.39e-04  1.05e-04
2015 05 30  0745   57172  27900  2.76e-01  1.21e-02  1.88e-02  1.51e-02  1.22e-02  3.86e-03  1.93e-03  1.17e-03  2.26e-04  2.82e-04  7.60e-05
2015 05 30  0750   57172  28200  2.16e-01  9.68e-02  1.88e-02  1.58e-02  1.32e-02  4.47e-03  1.98e-03  1.40e-03  1.17e-03  2.26e-04  1.15e-04
2015 05 30  0755   57172  28500  2.31e-01  7.26e-02  9.38e-03  1.51e-02  1.22e-02  4.10e-03  2.33e-03  9.94e-04  9.03e-04  2.63e-04  1.13e-04
2015 05 30  0800   57172  28800  2.44e-01  4.84e-02  2.81e-02  1.51e-02  1.34e-02  3.59e-03  2.16e-03  1.45e-03  5.42e-04  4.52e-04  8.38e-05
2015 05 30  0805   57172  29100  1.88e-01  9.68e-02  1.88e-02  1.51e-02  8.06e-03  3.39e-03  1.87e-03  1.36e-03  6.32e-04  3.58e-04  1.36e-04
2015 05 30  0810   57172  29400  3.13e-01  1.09e-01  8.44e-02  2.17e-02  1.26e-02  3.46e-03  1.59e-03  1.17e-03  9.03e-04  3.95e-04  1.01e-04
2015 05 30  0815   57172  29700  2.95e-01  7.26e-02  1.88e-02  9.20e-03  1.53e-02  4.00e-03  2.16e-03  1.49e-03  9.94e-04  2.63e-04  1.13e-04
2015 05 30  0820   57172  30000  2.82e-01  7.26e-02  1.88e-02  1.18e-02  1.36e-02  3.39e-03  2.04e-03  1.85e-03  8.58e-04  3.39e-04  1.07e-04
2015 05 30  0825   57172  30300  1.79e-01  1.81e-01  5.63e-02  2.23e-02  1.22e-02  3.52e-03  2.22e-03  1.49e-03  7.23e-04  3.58e-04  1.42e-04
2015 05 30  0830   57172  30600  1.70e-01  3.63e-02  1.88e-02  9.20e-03  1.06e-02  3.56e-03  1.94e-03  1.26e-03  1.04e-03  3.95e-04  1.21e-04
2015 05 30  0835   57172  30900  3.06e-01  8.47e-02  1.88e-02  1.38e-02  1.18e-02  4.27e-03  1.69e-03  1.17e-03  7.68e-04  2.82e-04  1.07e-04
2015 05 30  0840   57172  31200  3.36e-01  7.26e-02  3.75e-02  1.38e-02  1.38e-02  3.69e-03  1.77e-03  1.04e-03  7.68e-04  3.01e-04  1.01e-04
2015 05 30  0845   57172  31500  2.39e-01  1.33e-01  9.38e-03  1.84e-02  1.04e-02  3.32e-03  1.84e-03  1.31e-03  7.23e-04  4.70e-04  1.50e-04
2015 05 30  0850   57172  31800  3.08e-01  9.68e-02  5.63e-02  1.25e-02  1.42e-02  3.59e-03  1.65e-03  2.12e-03  8.58e-04  3.95e-04  1.46e-04
2015 05 30  0855   57172  32100  3.10e-01  8.47e-02  0.00e+00  1.25e-02  1.28e-02  4.17e-03  2.15e-03  1.45e-03  6.78e-04  3.01e-04  1.15e-04
2015 05 30  0900   57172  32400  2.48e-01  8.47e-02  2.81e-02  1.38e-02  1.14e-02  3.83e-03  1.95e-03  1.58e-03  9.03e-04  3.58e-04  1.36e-04
2015 05 30  0905   57172  32700  2.91e-01  4.84e-02  9.38e-03  1.84e-02  1.44e-02  3.39e-03  1.92e-03  2.48e-03  5.87e-04  2.45e-04  9.74e-05
2015 05 30  0910   57172  33000  3.34e-01  9.68e-02  1.88e-02  1.84e-02  1.06e-02  3.96e-03  2.10e-03  1.72e-03  6.78e-04  4.33e-04  1.09e-04
2015 05 30  0915   57172  33300  2.61e-01  8.47e-02  2.81e-02  1.64e-02  9.44e-03  4.00e-03  1.99e-03  1.76e-03  1.08e-03  4.70e-04  9.94e-05
2015 05 30  0920   57172  33600  2.50e-01  7.26e-02  4.69e-02  1.58e-02  1.14e-02  4.03e-03  2.03e-03  1.40e-03  8.58e-04  5.83e-04  1.15e-04
2015 05 30  0925   57172  33900  3.73e-01  4.84e-02  9.38e-03  2.10e-02  7.47e-03  3.56e-03  1.93e-03  1.67e-03  8.58e-04  4.14e-04  1.32e-04
2015 05 30  0930   57172  34200  2.46e-01  8.47e-02  1.88e-02  1.18e-02  1.24e-02  3.62e-03  2.11e-03  1.36e-03  1.04e-03  3.76e-04  1.27e-04
2015 05 30  0935   57172  34500  1.70e-01  7.26e-02  3.75e-02  1.31e-02  1.32e-02  3.25e-03  1.85e-03  1.40e-03  9.03e-04  3.01e-04  1.19e-04
2015 05 30  0940   57172  34800  3.54e-01  7.26e-02  1.88e-02  1.12e-02  1.38e-02  4.20e-03  1.98e-03  1.58e-03  8.13e-04  2.45e-04  8.57e-05
2015 05 30  0945   57172  35100  3.90e-01  7.26e-02  4.69e-02  2.23e-02  9.83e-03  3.56e-03  1.65e-03  1.72e-03  9.03e-04  3.76e-04  9.94e-05
2015 05 30  0950   57172  35400  3.08e-01  1.33e-01  4.69e-02  1.12e-02  1.14e-02  4.67e-03  1.91e-03  1.36e-03  8.13e-04  4.14e-04  1.01e-04
2015 05 30  0955   57172  35700  3.00e-01  4.84e-02  2.81e-02  1.25e-02  1.24e-02  4.27e-03  1.81e-03  2.12e-03  9.03e-04  2.82e-04  1.25e-04
2015 05 30  1000   57172  36000  2.93e-01  4.84e-02  1.88e-02  1.31e-02  1.10e-02  4.91e-03  2.30e-03  1.72e-03  1.04e-03  3.76e-04  1.64e-04
2015 05 30  1005   57172  36300  2.54e-01  1.21e-01  0.00e+00  1.38e-02  1.12e-02  4.30e-03  1.95e-03  1.45e-03  1.04e-03  3.20e-04  1.25e-04
2015 05 30  1010   57172  36600  3.39e-01  6.05e-02  1.88e-02  1.97e-02  1.32e-02  4.07e-03  1.72e-03  1.36e-03  1.22e-03  2.26e-04  1.32e-04
2015 05 30  1015   57172  36900  3.88e-01  8.47e-02  9.38e-03  1.71e-02  1.49e-02  4.17e-03  1.84e-03  1.13e-03  9.49e-04  2.82e-04  1.31e-04
2015 05 30  1020   57172  37200  1.81e-01  6.05e-02  2.81e-02  1.84e-02  1.24e-02  3.69e-03  1.84e-03  1.49e-03  1.17e-03  3.76e-04  1.23e-04
2015 05 30  1025   57172  37500  3.43e-01  1.33e-01  4.69e-02  1.18e-02  1.04e-02  4.07e-03  1.66e-03  1.85e-03  9.94e-04  3.01e-04  1.34e-04
2015 05 30  1030   57172  37800  2.05e-01  4.84e-02  9.38e-03  9.86e-03  1.00e-02  3.96e-03  1.79e-03  1.36e-03  5.42e-04  3.58e-04  1.19e-04
2015 05 30  1035   57172  38100  2.01e-01  1.21e-02  8.44e-02  1.64e-02  1.16e-02  4.78e-03  1.83e-03  1.72e-03  9.03e-04  3.39e-04  1.38e-04
2015 05 30  1040   57172  38400  2.82e-01  6.05e-02  7.50e-02  1.45e-02  1.26e-02  4.00e-03  2.01e-03  1.26e-03  4.97e-04  4.52e-04  1.15e-04
2015 05 30  1045   57172  38700  4.20e-01  6.05e-02  3.75e-02  1.18e-02  1.28e-02  4.30e-03  2.14e-03  1.22e-03  1.22e-03  2.63e-04  1.13e-04
2015 05 30  1050   57172  39000  1.60e-01  7.26e-02  1.88e-02  1.64e-02  1.26e-02  4.00e-03  1.86e-03  1.54e-03  8.13e-04  3.01e-04  9.94e-05
2015 05 30  1055   57172  39300  2.37e-01  4.84e-02  3.75e-02  1.31e-02  1.06e-02  5.18e-03  1.89e-03  1.72e-03  1.04e-03  3.58e-04  1.36e-04
2015 05 30  1100   57172  39600  3.19e-01  1.21e-01  5.63e-02  1.45e-02  1.20e-02  4.71e-03  1.84e-03  1.45e-03  9.03e-04  3.95e-04  1.17e-04
2015 05 30  1105   57172  39900  3.39e-01  8.47e-02  4.69e-02  1.45e-02  1.18e-02  3.62e-03  1.78e-03  1.17e-03  6.78e-04  5.27e-04  9.55e-05
2015 05 30  1110   57172  40200  2.89e-01  7.26e-02  4.69e-02  1.51e-02  1.34e-02  4.74e-03  2.04e-03  1.31e-03  7.23e-04  4.14e-04  9.74e-05
