#:Data_list: 20170101_Gp_pchan_5m.txt
#:Created: 2017 Jan 02 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-13
# Location: W074
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-13 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2017 01 01  0325   57754  12300  1.62e+00  7.26e-02  1.88e-02  3.09e-02  1.34e-02  5.86e-03  2.58e-03  2.53e-03  1.17e-03  4.33e-04  1.71e-04
2017 01 01  0330   57754  12600  3.08e+00  3.63e-02  6.57e-02  1.38e-02  1.61e-02  5.42e-03  2.79e-03  2.08e-03  9.03e-04  5.65e-04  1.89e-04
2017 01 01  0335   57754  12900  2.38e+00  8.47e-02  4.69e-02  2.10e-02  1.65e-02  5.69e-03  2.54e-03  2.30e-03  1.04e-03  3.76e-04  2.18e-04
2017 01 01  0340   57754  13200  3.93e+00  8.47e-02  5.63e-02  2.23e-02  1.53e-02  5.25e-03  2.52e-03  2.71e-03  1.04e-03  4.89e-04  1.54e-04
2017 01 01  0345   57754  13500  4.04e+00  7.26e-02  9.38e-03  2.63e-02  1.53e-02  5.49e-03  2.52e-03  2.39e-03  1.13e-03  5.65e-04  1.25e-04
2017 01 01  0350   57754  13800  4.20e+00  2.42e-02  4.69e-02  1.77e-02  1.71e-02  5.86e-03  2.74e-03  2.17e-03  1.17e-03  5.83e-04  1.87e-04
2017 01 01  0355   57754  14100  4.84e+00  1.21e-01  1.88e-02  2.23e-02  1.73e-02  5.01e-03  2.83e-03  2.66e-03  1.26e-03  5.08e-04  1.66e-04
2017 01 01  0400   57754  14400  6.36e+00  8.47e-02  9.38e-03  2.43e-02  1.59e-02  5.76e-03  2.78e-03  1.85e-03  1.17e-03  4.52e-04  1.79e-04
2017 01 01  0405   57754  14700  3.93e+00  9.68e-02  4.69e-02  1.97e-02  1.87e-02  5.42e-03  2.72e-03  1.85e-03  1.22e-03  5.46e-04  1.52e-04
2017 01 01  0410   57754  15000  3.25e+00  1.21e-01  7.50e-02  1.84e-02  1.63e-02  5.39e-03  2.71e-03  2.48e-03  1.26e-03  4.89e-04  1.79e-04
2017 01 01  0415   57754  15300  2.63e+00  8.47e-02  5.63e-02  2.17e-02  2.16e-02  6.61e-03  2.83e-03  2.12e-03  1.72e-03  6.02e-04  1.56e-04
2017 01 01  0420   57754  15600  3.32e+00  7.26e-02  4.69e-02  2.10e-02  1.28e-02  5.69e-03  2.62e-03  2.26e-03  1.08e-03  5.27e-04  1.40e-04
2017 01 01  0425   57754  15900  3.81e+00  1.09e-01  4.69e-02  1.97e-02  1.63e-02  5.69e-03  2.66e-03  2.57e-03  1.04e-03  3.76e-04  1.97e-04
2017 01 01  0430   57754  16200  4.01e+00  9.68e-02  5.63e-02  2.04e-02  1.93e-02  6.03e-03  2.71e-03  2.39e-03  8.13e-04  6.40e-04  1.75e-04
2017 01 01  0435   57754  16500  4.20e+00  1.09e-01  4.69e-02  2.17e-02  1.65e-02  5.12e-03  2.69e-03  2.39e-03  7.23e-04  5.46e-04  1.58e-04
2017 01 01  0440   57754  16800  3.45e+00  1.33e-01  5.63e-02  2.30e-02  1.40e-02  6.13e-03  2.26e-03  1.72e-03  2.03e-03  4.52e-04  1.95e-04
2017 01 01  0445   57754  17100  2.81e+00  6.05e-02  3.75e-02  2.04e-02  1.53e-02  5.15e-03  2.63e-03  2.80e-03  7.68e-04  5.83e-04  1.60e-04
2017 01 01  0450   57754  17400  2.38e+00  1.09e-01  7.50e-02  1.58e-02  1.38e-02  5.35e-03  2.86e-03  1.76e-03  9.94e-04  4.89e-04  1.50e-04
2017 01 01  0455   57754  17700  2.41e+00  6.05e-02  7.50e-02  1.84e-02  1.55e-02  5.76e-03  3.04e-03  1.81e-03  1.08e-03  6.02e-04  1.68e-04
2017 01 01  0500   57754  18000  1.72e+00  1.09e-01  8.44e-02  1.97e-02  1.73e-02  6.50e-03  2.68e-03  1.58e-03  1.94e-03  3.76e-04  1.60e-04
2017 01 01  0505   57754  18300  1.76e+00  8.47e-02  2.81e-02  1.91e-02  1.69e-02  4.95e-03  2.59e-03  1.81e-03  9.94e-04  5.83e-04  1.50e-04
2017 01 01  0510   57754  18600  3.47e+00  8.47e-02  4.69e-02  1.84e-02  1.53e-02  5.83e-03  2.59e-03  2.35e-03  1.40e-03  4.89e-04  1.52e-04
2017 01 01  0515   57754  18900  3.84e+00  1.45e-01  5.63e-02  1.84e-02  1.65e-02  5.35e-03  2.62e-03  2.26e-03  7.68e-04  6.21e-04  1.71e-04
2017 01 01  0520   57754  19200  2.70e+00  8.47e-02  2.81e-02  2.43e-02  2.05e-02  4.71e-03  2.83e-03  1.94e-03  1.13e-03  3.01e-04  1.60e-04
2017 01 01  0525   57754  19500  2.10e+00  1.09e-01  5.63e-02  2.30e-02  1.79e-02  5.01e-03  2.63e-03  1.99e-03  9.94e-04  5.27e-04  1.54e-04
2017 01 01  0530   57754  19800  2.67e+00  1.21e-01  4.69e-02  1.64e-02  1.75e-02  5.86e-03  2.70e-03  2.17e-03  1.08e-03  4.52e-04  1.68e-04
2017 01 01  0535   57754  20100  7.00e+00  1.09e-01  1.88e-02  2.37e-02  1.51e-02  5.56e-03  2.92e-03  2.44e-03  9.03e-04  6.21e-04  1.73e-04
2017 01 01  0540   57754  20400  2.30e+01  8.47e-02  4.69e-02  2.30e-02  1.87e-02  5.01e-03  2.43e-03  1.90e-03  1.49e-03  6.59e-04  1.48e-04
2017 01 01  0545   57754  20700  1.18e+01  9.68e-02  6.57e-02  2.43e-02  1.63e-02  5.89e-03  2.98e-03  1.36e-03  1.31e-03  4.52e-04  1.62e-04
2017 01 01  0550   57754  21000  1.23e+01  6.05e-02  2.81e-02  2.30e-02  1.69e-02  5.79e-03  2.74e-03  1.94e-03  1.67e-03  4.33e-04  1.77e-04
2017 01 01  0555   57754  21300  1.10e+01  1.45e-01  5.63e-02  2.04e-02  1.18e-02  5.32e-03  2.85e-03  1.76e-03  1.26e-03  4.33e-04  1.91e-04
2017 01 01  0600   57754  21600  1.41e+01  9.68e-02  2.81e-02  2.17e-02  1.99e-02  5.76e-03  2.45e-03  2.17e-03  1.04e-03  6.21e-04  1.73e-04
2017 01 01  0605   57754  21900  1.08e+01  1.09e-01  6.57e-02  2.37e-02  1.57e-02  5.18e-03  3.06e-03  2.21e-03  1.26e-03  3.58e-04  1.73e-04
2017 01 01  0610   57754  22200  9.26e+00  1.21e-01  1.88e-02  1.58e-02  1.67e-02  6.17e-03  2.66e-03  2.44e-03  8.58e-04  6.21e-04  1.46e-04
2017 01 01  0615   57754  22500  1.01e+01  1.09e-01  4.69e-02  1.31e-02  2.01e-02  5.79e-03  2.66e-03  2.30e-03  1.26e-03  5.08e-04  1.50e-04
2017 01 01  0620   57754  22800  1.10e+01  9.68e-02  1.88e-02  3.09e-02  1.53e-02  5.28e-03  3.06e-03  1.99e-03  1.36e-03  5.46e-04  1.69e-04
2017 01 01  0625   57754  23100  1.07e+01  6.05e-02  4.69e-02  1.64e-02  1.59e-02  5.45e-03  2.87e-03  2.48e-03  1.49e-03  8.66e-04  2.03e-04
2017 01 01  0630   57754  23400  1.01e+01  7.26e-02  8.44e-02  2.69e-02  1.55e-02  5.69e-03  2.71e-03  2.76e-03  1.13e-03  5.83e-04  1.60e-04
2017 01 01  0635   57754  23700  8.28e+00  1.21e-01  6.57e-02  3.22e-02  1.59e-02  5.35e-03  2.76e-03  2.57e-03  1.67e-03  3.76e-04  1.42e-04
2017 01 01  0640   57754  24000  8.64e+00  1.33e-01  5.63e-02  1.91e-02  1.79e-02  5.18e-03  2.43e-03  2.03e-03  1.49e-03  5.27e-04  1.60e-04
2017 01 01  0645   57754  24300  1.00e+01  6.05e-02  6.57e-02  2.63e-02  1.63e-02  5.79e-03  2.28e-03  1.90e-03  1.45e-03  4.33e-04  1.77e-04
2017 01 01  0650   57754  24600  1.03e+01  9.68e-02  5.63e-02  2.69e-02  1.79e-02  5.22e-03  2.64e-03  1.72e-03  1.22e-03  3.01e-04  1.23e-04
2017 01 01  0655   57754  24900  1.05e+01  8.47e-02  6.57e-02  1.51e-02  1.32e-02  5.18e-03  2.46e-03  2.62e-03  1.26e-03  4.70e-04  1.75e-04
2017 01 01  0700   57754  25200  1.49e+01  1.09e-01  2.81e-02  2.17e-02  1.69e-02  5.25e-03  2.53e-03  1.90e-03  1.04e-03  4.70e-04  1.66e-04
2017 01 01  0705   57754  25500  1.50e+01  1.45e-01  3.75e-02  2.30e-02  1.57e-02  5.49e-03  2.37e-03  2.26e-03  9.94e-04  6.02e-04  1.87e-04
2017 01 01  0710   57754  25800  1.61e+01  9.68e-02  9.38e-03  2.10e-02  1.69e-02  5.52e-03  2.46e-03  2.89e-03  7.68e-04  4.70e-04  1.50e-04
2017 01 01  0715   57754  26100  1.44e+01  6.05e-02  7.50e-02  1.58e-02  1.69e-02  5.12e-03  2.58e-03  2.03e-03  9.03e-04  4.70e-04  1.52e-04
2017 01 01  0720   57754  26400  1.23e+01  4.84e-02  4.69e-02  2.04e-02  1.49e-02  5.79e-03  2.72e-03  2.89e-03  1.67e-03  4.33e-04  1.31e-04
2017 01 01  0725   57754  26700  1.20e+01  8.47e-02  4.69e-02  2.56e-02  2.22e-02  5.96e-03  2.76e-03  2.39e-03  1.49e-03  3.39e-04  1.36e-04
2017 01 01  0730   57754  27000  1.30e+01  7.26e-02  6.57e-02  2.69e-02  1.67e-02  4.95e-03  2.61e-03  1.99e-03  1.08e-03  4.33e-04  1.44e-04
2017 01 01  0735   57754  27300  1.04e+01  7.26e-02  5.63e-02  1.91e-02  1.83e-02  5.49e-03  2.81e-03  1.63e-03  9.49e-04  3.39e-04  1.66e-04
2017 01 01  0740   57754  27600  9.77e+00  1.09e-01  3.75e-02  2.43e-02  1.67e-02  5.59e-03  2.52e-03  2.35e-03  8.58e-04  7.34e-04  1.69e-04
2017 01 01  0745   57754  27900  1.09e+01  9.68e-02  3.75e-02  2.56e-02  1.57e-02  5.18e-03  2.41e-03  2.39e-03  1.08e-03  3.01e-04  1.52e-04
2017 01 01  0750   57754  28200  1.05e+01  1.09e-01  8.44e-02  3.09e-02  1.81e-02  4.71e-03  2.91e-03  1.67e-03  1.36e-03  3.95e-04  1.32e-04
2017 01 01  0755   57754  28500  9.27e+00  1.33e-01  4.69e-02  1.97e-02  1.71e-02  4.98e-03  2.96e-03  2.30e-03  9.94e-04  8.09e-04  1.79e-04
2017 01 01  0800   57754  28800  1.07e+01  8.47e-02  4.69e-02  1.51e-02  1.46e-02  4.98e-03  2.54e-03  2.03e-03  1.08e-03  3.39e-04  1.75e-04
2017 01 01  0805   57754  29100  9.57e+00  1.09e-01  1.88e-02  2.23e-02  1.99e-02  5.32e-03  2.83e-03  2.12e-03  1.40e-03  6.59e-04  1.73e-04
2017 01 01  0810   57754  29400  8.84e+00  7.26e-02  5.63e-02  1.91e-02  1.69e-02  4.81e-03  2.73e-03  1.99e-03  1.04e-03  3.01e-04  1.69e-04
2017 01 01  0815   57754  29700  8.92e+00  4.84e-02  4.69e-02  1.97e-02  1.28e-02  5.86e-03  2.80e-03  2.30e-03  1.08e-03  5.27e-04  1.83e-04
2017 01 01  0820   57754  30000  7.49e+00  1.09e-01  5.63e-02  2.17e-02  1.65e-02  5.69e-03  2.74e-03  2.44e-03  1.13e-03  4.52e-04  1.42e-04
2017 01 01  0825   57754  30300  7.03e+00  8.47e-02  3.75e-02  1.71e-02  1.53e-02  5.52e-03  2.53e-03  2.57e-03  1.22e-03  5.46e-04  1.79e-04
2017 01 01  0830   57754  30600  6.22e+00  8.47e-02  6.57e-02  2.17e-02  1.63e-02  5.35e-03  3.02e-03  1.76e-03  5.87e-04  3.39e-04  1.54e-04
2017 01 01  0835   57754  30900  5.47e+00  7.26e-02  8.44e-02  2.37e-02  1.53e-02  5.12e-03  2.75e-03  2.53e-03  1.17e-03  4.33e-04  1.64e-04
2017 01 01  0840   57754  31200  5.45e+00  1.21e-02  2.81e-02  2.23e-02  1.61e-02  6.78e-03  2.64e-03  2.17e-03  1.36e-03  3.95e-04  1.54e-04
2017 01 01  0845   57754  31500  5.87e+00  8.47e-02  2.81e-02  1.97e-02  1.55e-02  5.56e-03  2.96e-03  1.63e-03  1.26e-03  4.52e-04  1.56e-04
2017 01 01  0850   57754  31800  4.39e+00  1.57e-01  4.69e-02  2.10e-02  1.57e-02  5.66e-03  2.94e-03  2.53e-03  1.63e-03  5.65e-04  2.03e-04
2017 01 01  0855   57754  32100  5.94e+00  7.26e-02  7.50e-02  2.23e-02  1.83e-02  5.72e-03  2.75e-03  2.48e-03  1.49e-03  4.14e-04  1.54e-04
2017 01 01  0900   57754  32400  6.68e+00  7.26e-02  2.81e-02  1.97e-02  1.49e-02  5.25e-03  2.80e-03  2.35e-03  9.94e-04  3.95e-04  1.58e-04
2017 01 01  0905   57754  32700  1.18e+01  6.05e-02  3.75e-02  2.43e-02  1.85e-02  5.56e-03  2.92e-03  3.03e-03  1.31e-03  7.15e-04  1.54e-04
2017 01 01  0910   57754  33000  1.31e+01  1.69e-01  7.50e-02  2.69e-02  1.69e-02  5.08e-03  2.59e-03  2.08e-03  9.49e-04  6.96e-04  1.17e-04
2017 01 01  0915   57754  33300  9.56e+00  2.42e-02  4.69e-02  1.97e-02  1.30e-02  4.54e-03  2.67e-03  1.81e-03  9.94e-04  4.89e-04  1.75e-04
2017 01 01  0920   57754  33600  7.78e+00  6.05e-02  6.57e-02  2.10e-02  1.48e-02  5.86e-03  2.54e-03  1.99e-03  1.40e-03  4.14e-04  1.85e-04
2017 01 01  0925   57754  33900  6.89e+00  7.26e-02  2.81e-02  1.38e-02  1.57e-02  5.22e-03  2.69e-03  2.17e-03  1.17e-03  5.46e-04  1.73e-04
2017 01 01  0930   57754  34200  7.19e+00  1.81e-01  1.88e-02  2.10e-02  1.67e-02  5.35e-03  2.60e-03  2.26e-03  1.58e-03  6.40e-04  1.73e-04
2017 01 01  0935   57754  34500  1.13e+01  8.47e-02  3.75e-02  2.63e-02  1.65e-02  4.95e-03  2.65e-03  2.48e-03  1.08e-03  7.34e-04  1.87e-04
2017 01 01  0940   57754  34800  2.56e+01  1.09e-01  3.75e-02  2.17e-02  1.67e-02  6.10e-03  2.83e-03  2.26e-03  1.13e-03  2.82e-04  1.42e-04
2017 01 01  0945   57754  35100  3.01e+01  6.05e-02  3.75e-02  2.30e-02  1.81e-02  5.79e-03  2.69e-03  1.90e-03  1.13e-03  4.89e-04  1.48e-04
2017 01 01  0950   57754  35400  3.19e+01  9.68e-02  9.38e-03  2.10e-02  1.75e-02  5.69e-03  2.86e-03  2.03e-03  9.03e-04  5.27e-04  1.87e-04
2017 01 01  0955   57754  35700  2.69e+01  9.68e-02  4.69e-02  2.56e-02  1.53e-02  6.37e-03  2.93e-03  2.35e-03  1.40e-03  5.27e-04  1.68e-04
2017 01 01  1000   57754  36000  2.43e+01  9.68e-02  2.81e-02  2.10e-02  1.81e-02  5.96e-03  2.84e-03  1.99e-03  1.13e-03  4.52e-04  1.89e-04
2017 01 01  1005   57754  36300  4.03e+01  7.26e-02  2.81e-02  2.30e-02  1.40e-02  5.89e-03  2.89e-03  1.94e-03  7.68e-04  5.27e-04  1.44e-04
2017 01 01  1010   57754  36600  9.83e+01  1.21e-01  2.81e-02  2.89e-02  1.69e-02  6.40e-03  2.44e-03  1.72e-03  1.26e-03  4.33e-04  1.40e-04
2017 01 01  1015   57754  36900  1.84e+02  9.68e-02  2.81e-02  1.38e-02  1.67e-02  5.25e-03  2.53e-03  2.62e-03  9.94e-04  7.34e-04  1.27e-04
2017 01 01  1020   57754  37200  1.49e+02  8.47e-02  2.81e-02  2.23e-02  1.63e-02  6.84e-03  2.79e-03  1.81e-03  7.23e-04  3.76e-04  1.50e-04
2017 01 01  1025   57754  37500  9.59e+01  8.47e-02  4.69e-02  2.37e-02  1.40e-02  5.66e-03  2.87e-03  1.94e-03  1.72e-03  3.95e-04  1.66e-04
2017 01 01  1030   57754  37800  7.47e+01  7.26e-02  3.75e-02  2.10e-02  1.48e-02  4.74e-03  3.02e-03  2.21e-03  1.17e-03  4.89e-04  1.56e-04
2017 01 01  1035   57754  38100  4.15e+01  1.09e-01  3.75e-02  1.97e-02  1.83e-02  5.49e-03  2.47e-03  2.35e-03  1.17e-03  6.21e-04  1.64e-04
2017 01 01  1040   57754  38400  3.00e+01  7.26e-02  1.88e-02  1.97e-02  1.46e-02  5.32e-03  2.60e-03  2.21e-03  1.04e-03  5.65e-04  1.66e-04
2017 01 01  1045   57754  38700  2.26e+01  7.26e-02  3.75e-02  2.10e-02  1.65e-02  6.54e-03  2.97e-03  2.26e-03  5.87e-04  4.14e-04  1.50e-04
2017 01 01  1050   57754  39000  1.94e+01  1.21e-01  1.88e-02  1.58e-02  1.69e-02  5.08e-03  2.43e-03  1.76e-03  1.13e-03  4.52e-04  1.56e-04
2017 01 01  1055   57754  39300  1.60e+01  7.26e-02  2.81e-02  1.77e-02  1.79e-02  5.56e-03  2.57e-03  1.54e-03  1.40e-03  8.28e-04  1.64e-04
2017 01 01  1100   57754  39600  1.62e+01  6.05e-02  1.88e-02  1.51e-02  1.36e-02  6.40e-03  2.49e-03  2.62e-03  1.54e-03  5.46e-04  1.29e-04
2017 01 01  1105   57754  39900  1.96e+01  4.84e-02  1.88e-02  1.97e-02  1.69e-02  5.52e-03  2.58e-03  2.94e-03  1.31e-03  6.59e-04  1.79e-04
2017 01 01  1110   57754  40200  1.92e+01  8.47e-02  2.81e-02  1.84e-02  1.55e-02  5.56e-03  2.57e-03  2.08e-03  9.03e-04  5.08e-04  1.66e-04
